state_name,spliced_formations_per_quarter,year
wyoming,19.75,2011
wyoming,20.0,2012
wyoming,17.25,2013
wyoming,20.25,2014
wyoming,19.75,2015
wyoming,21.25,2016
wyoming,21.0,2017
wyoming,23.0,2018
wyoming,22.0,2019
wyoming,23.75,2020
wyoming,26.25,2021
wyoming,33.5,2022
wyoming,44.25,2023
wyoming,49.25,2024
